course_id,courses_title,courses_description,category,sub_category
2653,New_testing_course,This is created for testing the exisiting records if not exists then to add them,Testing,Testing
680,Academy of Agricultural Bioscience & Technology,"Summary of the Academy of Bioscience & Technology at VUSD.
In this lesson we’ll cover what stands in the way of sleep, and the things we can do to make sure we get a good night’s rest. - Updated",Local Paths,Visalia Unified School District
679,Academy of Architecture & Engineering,Summary of the Academy of Architecture & Engineering at VUSD.,Local Paths,Visalia Unified School District
681,Academy of Business & Finance,Summary of the Academy of Business & Finance at VUSD.,Local Paths,Visalia Unified School District
682,Academy of Computer Science,Summary of the Academy of Computer Science at VUSD,Local Paths,Visalia Unified School District
683,Academy of Engineering & Ag Manufacturing,Summary of the Academy of Engineering & Ag Manufacturing at VUSD.,Local Paths,Visalia Unified School District
684,Academy of First Responders,Summary of the Academy of First Responders at VUSD,Local Paths,Visalia Unified School District
685,Academy of Health Sciences,Summary of the Academy of Health Sciences at VUSD.,Local Paths,Visalia Unified School District
686,Academy of Law & Justice,Summary of the Academy of Law & Justice at VUSD.,Local Paths,Visalia Unified School District
666,Academy of Media Arts,Summary of the Academy of Media Arts at VUSD.,Local Paths,Visalia Unified School District
810,Accountability,"At the end of this lesson, you will understand:

• What accountability means;
• The difference between powerful & powerless mindsets, & how they're related to accountability;
• The benefits of being accountable;
• How to be accountable",Social & Emotional Learning,Ethical Decision Maker
4798,Accountability Matters,"In this lesson students will explore why accountability matters, and develop strategies to follow through on commitments.

Learner Rubric: 
Define accountability and understand why it matters in personal and social situations.

List clear steps for holding themselves accountable in everyday decisions.

Practice strategies for taking responsibility, reflecting on mistakes, and making positive changes.",Life Ready Skills,Responsibility and Accountability
829,Acting Techniques,Learners will understand theme development and different acting techniques.,Core Skills,Art
132,Action Plan – Agriculture & Natural Resources,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Agriculture & Natural Resources.",Career Pathways,Action Plan
133,"Action Plan – Arts, Media, & Entertainment","In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Arts, Media, & Entertainment.",Career Pathways,Action Plan
9,Action Plan – Building Trades & Construction,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Building Trades & Construction.",Career Pathways,Action Plan
131,Action Plan – Business & Finance,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Business & Finance.",Career Pathways,Action Plan
130,"Action Plan – Education, Child Development, & Family Services","In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in ECD, & Family Services.",Career Pathways,Action Plan
142,Action Plan – Energy & Utilities,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Energy & Utilities",Career Pathways,Action Plan
143,Action Plan – Engineering & Design,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Engineering & Design",Career Pathways,Action Plan
137,Action Plan – Fashion & Interior Design,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Fashion & Interior Design",Career Pathways,Action Plan
144,Action Plan – Health Science & Medical Technology,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Health Science & Medical Technology",Career Pathways,Action Plan
145,"Action Plan – Hospitality, Tourism, & Recreation","In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Hospitality, Tourism, & Recreation",Career Pathways,Action Plan
136,Action Plan – Information Technology,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Information Technology",Career Pathways,Action Plan
430,Action Plan – Manufacturing & Product Development,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Manufacturing & Product Development",Career Pathways,Action Plan
138,"Action Plan – Marketing, Sales & Service","In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Marketing, Sales & Service",Career Pathways,Action Plan
139,Action Plan – Public Services,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Public Services",Career Pathways,Action Plan
140,Action Plan – Transportation,"In this Action Plan segment, students will explore career possibilities with levels of education, and consider activities they can start right away to further prepare for a successful career in Transportation",Career Pathways,Action Plan
1630,Adapt,"Adapt is an element of Madera Unified's Graduate Profile. In this lesson, participants will learn about adapting and the behaviors and mindsets needed to adapt well.

Beginning: Learners will be able to define what adapt is.
Applying: Learners will be able to identify steps to becoming more adaptable.
Exemplary: Learners will be able to adapt to new challenges by reflecting and growing.",Social & Emotional Learning,Self-Management
725,Adaptability,"At the end of this lesson, you will understand:

• What it means to be adaptable;
• The things that have influenced development of your character; 
• How you can use adaptability to become a better person",Social & Emotional Learning,Self-Management
817,Adaptability (Up Skills),"Adaptability is about changing according to people, places, and situations around you. But it’s easier said than done. And before we jump to believing in it; that people could and should adapt, let’s talk about why it’s even worth considering. And to do this, let’s dive into the most basic question about human beings. Do people change, or do they stay the same?",Up Skills,Self-Management
1241,A-G 10TH Grade,"We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1242,A-G 10TH Grade (Spanish),"Repasaremos los requisitos de la A a la G, que son importantes logros de clase en el camino. Cada año, tendrás diferentes. A medida que pasa cada clase, abre nuevas oportunidades cuando completa su viaje completo a la escuela secundaria.

We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1244,A-G 11TH Grade,"We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1243,A-G 11TH Grade (Spanish),"Repasaremos los requisitos de la A a la G, que son importantes logros de clase en el camino. Cada año, tendrás diferentes. A medida que pasa cada clase, abre nuevas oportunidades cuando completa su viaje completo a la escuela secundaria.

We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1245,A-G 12TH Grade,"We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1235,A-G 12TH Grade (Spanish),"Repasaremos los requisitos de la A a la G, que son importantes logros de clase en el camino. Cada año, tendrás diferentes. A medida que pasa cada clase, abre nuevas oportunidades cuando completa su viaje completo a la escuela secundaria.

We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1234,A-G 9TH Grade,"We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1240,A-G 9TH Grade (Spanish),"We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.",Academic Planning,A-G Requirements
1251,A-G Rau Qib 10 Yog Dab Tsi?,"In this lesson, we will go over what A-G requirements are for 10th grade.

Nyob rau zaj lus qhia no, kuv yuav coj koj mus saib thiab pom tias kev kawm ntawv high school nyob rau qib kaum zoo li cas. Txhua xyoo, koj yuav tsum tau taug saib koj cov chav kawm A to G. Koj yuav tsum tau dhau cov chav kawm no nrog tus qhab nias C los sis siab tshaj ntawd. Thiab thaum koj kawm tag cov chav no nrog rau tag nrho cov chav uas koj lub tsev kawm ntawv toob kas, nws yuav pab koj pom kev deb thiab qhib lub ntuj dav zog rau koj hais txog ntawm kev kawm ntawv thiab kev ua hauj lwm rau yav pem suab.",Academic Planning,A-G Requirements
